"Player","Nation","Pos","Squad","Comp","Age","Born","MP","Starts","Min","90s","Gls","Ast","G-PK","PK","PKatt","CrdY","CrdR","G+A","G+A-PK","xG","npxG","xA","npxG+xA","xG+xA","Sh","SoT","Sh/90","SoT/90","FK","G-xG","np:G-xG","Cmp","Att","Cmp%","TotDist","PrgDist","Cmp.1","A-xA","KP","1/3","PPA","CrsPA","Prog","Live","Dead","TB","Press","Sw","Crs","CK","In","Out","Str","Ground","Low","High","Left","Right","Head","TI","Other","Off","Int","Blocks","SCA","SCA90","PassLive","PassDead","Drib","Fld","Def","GCA","GCA90","Tkl","TklW","Def 3rd","Mid 3rd","Att 3rd","Past","Succ","ShSv","Pass","Tkl+Int","Clr","Err","Touches","Def Pen","Att Pen","#Pl","Megs","Carries","CPA","Mis","Dis","Targ","Rec","Rec%","Prog.1","Mn/MP","Min%","Subs","unSub","PPM","onG","onGA","+/-","+/-90","onxG","onxGA","xG+/-","xG+/-90","2CrdY","Fls","PKwon","PKcon","OG","Recov","Won","Lost"
"Aaron Connolly","ie IRL","FW","Brighton","eng Premier League","21","2000","1","0","45","0.5","0","0","0","0","0","0","0","0.00","0.00","0.4","0.4","0.0","0.4","0.85","1","0","2.00","0.00","0","-0.4","-0.4","2","3","66.7","14","0","2","0.0","0","0","0","0","0","3","0","0","1","0","1","0","0","0","0","2","1","0","0","2","0","0","1","0","0","0","1","2.00","1","0","0","0","0","0","0.00","0","0","0","0","0","0","1","0","0","0","0","0","8","0","2","0","0","5","0","0","1","20","4","20.0","2","45","16.7","1","1","3.00","0","0","0","0.00","1.0","0.7","+0.3","+0.68","0","0","0","0","0","3","0","2"
"Aaron Cresswell","eng ENG","DF","West Ham","eng Premier League","31","1989","3","3","270","3.0","1","0","1","0","0","0","0","0.33","0.33","0.1","0.1","0.1","0.2","0.07","3","1","1.00","0.33","1","+0.9","+0.9","177","217","81.6","3219","1104","71","-0.1","2","13","2","0","18","175","42","0","16","5","4","5","0","5","0","134","48","35","161","19","2","31","1","1","3","8","5","1.67","4","1","0","0","0","1","0.33","8","4","7","1","0","0","10","0","2","10","5","0","244","8","6","0","0","135","0","0","2","162","157","96.9","4","90","100.0","0","0","2.33","10","5","+5","+1.67","6.0","2.9","+3.1","+1.03","0","0","0","0","0","23","4","3"
"Aaron Hickey","sct SCO","DF","Bologna","it Serie A","19","2002","2","2","135","1.5","0","0","0","0","0","1","0","0.00","0.00","0.1","0.1","0.0","0.1","0.05","2","1","1.33","0.67","0","-0.1","-0.1","48","59","81.4","924","197","19","0.0","1","3","1","1","0","49","10","0","7","2","2","0","0","0","0","39","10","10","33","17","0","9","0","0","0","1","2","1.33","2","0","0","0","0","0","0.00","2","0","1","1","0","0","1","0","5","6","5","0","82","8","0","2","1","52","0","2","0","50","45","90.0","0","68","75.0","0","0","2.00","0","1","-1","-0.67","0.8","2.0","-1.2","-0.80","0","2","0","0","0","8","2","3"
"Aaron Lennon","eng ENG","MF","Burnley","eng Premier League","34","1987","1","0","28","0.3","0","0","0","0","0","1","0","0.00","0.00","0.0","0.0","0.0","0.0","0.00","0","0","0.00","0.00","0","0.0","0.0","4","4","100.0","58","40","2","0.0","0","0","0","0","1","4","0","0","1","0","0","0","0","0","0","3","1","0","2","2","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0.00","2","1","1","1","0","0","5","0","1","2","0","0","9","0","0","0","0","5","0","1","0","8","4","50.0","0","28","10.4","1","0","1.00","0","1","-1","-3.21","0.1","0.9","-0.8","-2.66","0","1","0","0","0","2","0","1"
"Aaron Ramsey","wls WAL","MF","Juventus","it Serie A","30","1990","1","1","58","0.6","0","0","0","0","0","0","0","0.00","0.00","0.0","0.0","0.0","0.0","0.07","0","0","0.00","0.00","0","0.0","0.0","44","47","93.6","881","218","18","0.0","1","3","0","0","2","44","3","0","3","2","0","0","0","0","0","40","4","3","27","19","1","0","0","0","0","0","1","1.55","1","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","2","0","0","48","1","1","0","0","34","0","1","0","44","43","97.7","1","58","32.2","0","0","1.00","2","1","+1","+1.55","0.5","1.1","-0.6","-0.95","0","1","0","0","0","1","0","0"
"Aaron Wan-Bissaka","eng ENG","DF","Manchester Utd","eng Premier League","23","1997","3","3","270","3.0","0","0","0","0","0","0","0","0.00","0.00","0.0","0.0","0.1","0.1","0.03","0","0","0.00","0.00","0","0.0","0.0","149","166","89.8","2455","764","72","-0.1","2","10","2","2","9","139","27","0","18","3","4","0","0","0","0","124","30","12","8","131","3","24","0","0","5","2","3","1.00","3","0","0","0","0","0","0.00","3","1","0","2","1","2","5","1","3","5","7","0","192","4","2","4","1","130","0","1","5","142","123","86.6","4","90","100.0","0","0","2.33","7","2","+5","+1.67","3.6","3.2","+0.3","+0.11","0","2","0","0","0","25","0","4"
"AarÃ³n Escandell","es ESP","GK","Granada","es La Liga","25","1995","3","3","270","3.0","0","0","0","0","0","0","0","0.00","0.00","0.0","0.0","0.0","0.0","0.00","0","0","0.00","0.00","0","0.0","0.0","69","121","57.0","2731","2033","13","0.0","0","2","0","0","0","69","52","0","5","5","0","0","0","0","0","30","6","85","12","83","1","0","13","0","2","0","0","0.00","0","0","0","0","0","0","0.00","0","0","0","0","0","1","0","0","0","0","1","0","131","113","0","0","0","43","0","0","0","36","36","100.0","0","90","100.0","0","0","0.67","1","5","-4","-1.33","1.7","5.1","-3.4","-1.14","0","0","0","0","0","21","0","0"
"AarÃ³n MartÃ­n","es ESP","DF","Mainz 05","de Bundesliga","24","1997","3","2","182","2.0","0","0","0","0","0","0","0","0.00","0.00","0.0","0.0","0.4","0.4","0.21","3","0","1.48","0.00","0","0.0","0.0","70","97","72.2","1333","621","28","-0.4","4","7","2","2","6","64","33","1","2","4","11","6","3","2","0","44","20","33","69","7","1","20","0","1","3","2","4","1.98","2","2","0","0","0","0","0.00","0","0","0","0","0","1","6","0","4","2","7","0","116","4","1","4","0","56","0","3","1","69","55","79.7","3","61","67.4","1","0","2.00","2","2","0","0.00","2.6","2.0","+0.5","+0.27","0","2","0","0","0","14","1","3"
"Abdel Jalil Medioub","dz ALG","DF","Bordeaux","fr Ligue 1","24","1997","1","0","29","0.3","0","0","0","0","0","0","0","0.00","0.00","0.0","0.0","0.0","0.0","0.00","0","0","0.00","0.00","0","0.0","0.0","5","11","45.5","119","21","0","0.0","0","0","0","0","0","10","1","0","1","0","0","0","0","0","0","5","0","6","1","6","2","1","0","0","0","0","0","0.00","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0","0","0","1","1","0","15","3","0","0","0","4","0","1","0","8","8","100.0","0","29","8.1","1","3","0.00","0","2","-2","-6.21","0.1","1.7","-1.7","-5.18","0","0","0","0","0","3","2","0"
"Abdou Diallo","sn SEN","DF","Paris S-G","fr Ligue 1","25","1996","4","4","344","3.8","0","1","0","0","0","1","0","0.26","0.26","0.1","0.1","0.4","0.5","0.12","1","1","0.26","0.26","0","-0.1","-0.1","270","299","90.3","4773","1553","124","+0.6","3","18","6","2","29","263","36","0","27","6","6","0","0","0","0","231","42","26","228","31","6","30","0","0","7","3","4","1.05","4","0","0","0","0","1","0.26","10","8","4","3","3","5","14","0","8","16","9","1","345","19","4","6","0","248","2","4","8","255","248","97.3","6","86","95.6","0","0","3.00","12","5","+7","+1.83","6.2","3.1","+3.1","+0.81","0","5","0","0","0","23","5","1"
